source_id,dataset,publisher,source_url,data_year,accessed_on,evidence_grade,local_path,origin_type,parent_source_ids,provenance_note,sha256,link_status,repository_source_id
ADMIN-2024-CEI,2024 China administrative-division platform,China Economic Information Network,https://xzqh.cei.cn/jsps/Default,2024,2026-07-31,A_official_national,external://xzqh.cei.cn/jsps/Default,external,not_applicable,Official administrative registry used to construct the frozen city registry.,not_applicable,external_only,not_applicable
ADMIN-2024-MCA,2024 county-level-and-above administrative division code list,Ministry of Civil Affairs of the People's Republic of China,https://www.mca.gov.cn/n156/n2679/index.html,2024,2026-07-31,A_official_national,external://www.mca.gov.cn/n156/n2679/index.html,external,not_applicable,Official 2024 identity and code authority for the frozen prefecture-level snapshot.,not_applicable,external_only,not_applicable
REGISTRY-2024-YESCALLOP,2024 administrative-code machine-readable compilation,yescallop areacodes project,https://raw.githubusercontent.com/yescallop/areacodes/master/codes.json,2024,2026-07-31,D_model_proxy,external://raw.githubusercontent.com/yescallop/areacodes/master/codes.json,external,ADMIN-2024-MCA,Machine-readable collation used only to select 2024 active codes and names from the cited official MCA snapshot; it is not represented as an official coordinate or connectivity source.,not_applicable,external_only,not_applicable
GBT-2260-2007,GB/T 2260-2007 codes for the representation of names of administrative divisions,State Administration for Market Regulation,https://openstd.samr.gov.cn/bzgk/gb/index,2007,2026-07-31,A_official_national,external://openstd.samr.gov.cn/bzgk/gb/index,external,not_applicable,Official coding convention for administrative-division identifiers.,not_applicable,external_only,not_applicable
CITY-REGISTRY-SNAPSHOT-V01,Frozen 2024 prefecture-level city-account registry,Project-local immutable baseline,project://city-topology-v01/city-master-2024,2024,2026-07-31,D_model_proxy,data/raw/city_topology_v01/city_master_2024.csv,project,ADMIN-2024-MCA;REGISTRY-2024-YESCALLOP;GEO-2020-PFINAL-BAIDU,Frozen 337-account registry used as the independently reconstructive static audit source; coordinates are label metadata only and never create connectivity Current public carrier: city-master-2024-v01.,0f21ab953c22e8f7cf93879bbcae499bc3900a2d6cb5309b26109a7534aa0045,direct_public_carrier,city-master-2024-v01
CITY-ALIASES-SNAPSHOT-V01,Frozen approved exact-name city alias table,Project-local immutable baseline,project://city-topology-v01/city-aliases-v01,2024,2026-07-31,D_model_proxy,data/raw/city_topology_v01/city_aliases_v01.csv,project,CITY-REGISTRY-SNAPSHOT-V01,Frozen exact-string alias source used to independently rebuild release aliases; it contains no geometric matching rule Current public carrier: city-aliases-v01.,2ae73af1e075ea59477427754115128fe6c353ab7ee2fbf7f120cdc41bd88e6a,direct_public_carrier,city-aliases-v01
STATION-CITY-OVERRIDES-V01,Frozen approved station-city override table,Project-local immutable baseline,project://city-topology-v01/station-city-overrides-v01,2026,2026-07-31,D_model_proxy,data/raw/city_topology_v01/station_city_overrides_v01.csv,project,CITY-ALIASES-SNAPSHOT-V01;PIPELINE-SEGMENTS-V01,Frozen audited manual overrides used with exact aliases to independently rebuild the 153-row station-city map; no proximity inference is allowed Current public carrier: station-city-overrides-v01.,a5c5330f6a6d0c998c770b79bf1b384e75a7fa04a0a879ffdb9a44cd5c8be0f8,direct_public_carrier,station-city-overrides-v01
CAAC-2025-AIRPORT,2025 civil airport production bulletin and airport-ranking XLSX,Civil Aviation Administration of China,https://www.caac.gov.cn/PHONE/XXGK_17/XXGK/TJSJ/202602/t20260226_230119.html,2025,2026-07-31,A_official_national,external://www.caac.gov.cn/PHONE/XXGK_17/XXGK/TJSJ/202602/t20260226_230119.html,external,not_applicable,Official airport activity source for the aviation-sector evidence chain.,not_applicable,external_only,not_applicable
MOT-2025-PORT,2025 port cargo and container throughput table,Ministry of Transport of the People's Republic of China,https://xxgk.mot.gov.cn/2020/jigou/zhghs/202601/t20260130_4199411.html,2025,2026-07-31,A_official_national,external://xxgk.mot.gov.cn/2020/jigou/zhghs/202601/t20260130_4199411.html,external,not_applicable,Official port throughput source for the shipping-sector evidence chain.,not_applicable,external_only,not_applicable
PIPELINE-SEGMENTS-V01,Existing directed refined-oil pipeline segment inventory,Project-local immutable baseline,project://city-topology-v01/pipeline-network-segments-v01,2026,2026-07-31,D_model_proxy,data/raw/pipeline/pipeline_network_segments_v01.csv,project,not_applicable,Immutable local project baseline with 140 directed segments; it is not an external NetworkX dataset Current public carrier: pipeline-network-segments-v01.,b52f3b2bd17fade12a4b2ab79da5818049fb8971cf71197c9eb1d07ebb3e3752,direct_public_carrier,pipeline-network-segments-v01
