节点ID,管网节点,标准化节点名,匹配城市,匹配省份,节点经度_WGS84,节点纬度_WGS84,坐标来源,匹配置信度,匹配说明,连接管段数,节点度,涉及管道,连接管段ID,相邻节点
N001,703,703,昌吉回族自治州,新疆维吾尔自治区,87.3044857,44.00921537,别名映射至地级市,中,站场按线路上下文映射至昌吉州,2,2,独山子-703泵站-乌鲁木齐成品油管道,S007；S008,乌鲁木齐；独山子
N002,七里山,七里山,岳阳市,湖南省,113.260805,29.47623236,别名映射至地级市,中,站场按长岭-郴州管道上下文映射至岳阳,2,2,长岭-郴州成品油管道,S072；S073,汨罗；长岭
N003,三水,三水,佛山市,广东省,113.1135059,23.02428458,别名映射至地级市,高,三水区映射至佛山,1,1,珠三角成品油管网,S061,花都
N004,上饶,上饶,上饶市,江西省,117.938144,28.45851288,直接匹配城市名,高,节点名称与城市点位表一致,1,1,上饶-樟树成品油管道,S085,樟树
N005,东孚,东孚,厦门市,福建省,118.0810222,24.48114183,别名映射至地级市,高,厦门东孚站映射至厦门,1,1,福建成品油管道（南线）,S108,泉港
N006,东海岛,东海岛,湛江市,广东省,110.3828201,21.26187491,别名映射至地级市,中,东海岛按湛江港区/炼化节点映射至湛江,1,1,西南成品油管网（南线）,S053,南宁
N007,临沂,临沂,临沂市,山东省,118.3508968,35.10515503,直接匹配城市名,高,节点名称与城市点位表一致,1,1,鲁皖一期管道,S118,枣庄
N008,临海,临海,台州市,浙江省,121.4197134,28.66043016,别名映射至地级市,高,县级市临海映射至台州,2,2,甬台温成品油管道,S104；S105,宁海；灵昆
N009,乌鲁木齐,乌鲁木齐,乌鲁木齐市,新疆维吾尔自治区,87.61399479,43.82418589,直接匹配城市名,高,节点名称与城市点位表一致,2,2,独山子-703泵站-乌鲁木齐成品油管道；西部成品油管道,S001；S008,703；哈密
N010,九江,九江,九江市,江西省,115.9490642,29.65948813,直接匹配城市名,高,节点名称与城市点位表一致,1,1,九江-赣州成品油管道,S081,南昌
N011,亳州,亳州,亳州市,安徽省,115.7750466,33.84858031,直接匹配城市名,高,节点名称与城市点位表一致,1,1,安庆-亳州成品油管道,S089,阜阳
N012,保定,保定,保定市,河北省,115.4554531,38.87308485,直接匹配城市名,高,节点名称与城市点位表一致,2,2,抚顺-锦州-郑州成品油管道,S030；S031,固安；邯郸
N013,保山,保山,保山市,云南省,99.15527561,25.1118833,直接匹配城市名,高,节点名称与城市点位表一致,1,1,云南成品油管网（安保线）,S037,大理
