station_id,station_name,city_code,canonical_city_name,mapping_method,evidence_note,review_status
N001,703,652300,昌吉回族自治州,audited_manual_override,Evidence class=route_context_proxy; approved means model-baseline inclusion only; assignment is a route-context proxy and external facility-city verification is required; no coordinate or proximity access claim.,approved
N002,七里山,430600,岳阳市,audited_manual_override,Evidence class=audited_locality; approved means model-baseline inclusion only; assignment curated from the source locality or facility label and route context; external facility-city verification is not asserted; no coordinate or proximity access claim.,approved
N003,三水,440600,佛山市,audited_manual_override,Evidence class=audited_locality; approved means model-baseline inclusion only; assignment curated from the source locality or facility label and route context; external facility-city verification is not asserted; no coordinate or proximity access claim.,approved
N004,上饶,361100,上饶市,audited_manual_override,Evidence class=name_locality; approved means model-baseline inclusion only; assignment curated from the source station locality label and route context; external facility-city verification is not asserted; no coordinate or proximity access claim.,approved
N005,东孚,350200,厦门市,audited_manual_override,Evidence class=audited_locality; approved means model-baseline inclusion only; assignment curated from the source locality or facility label and route context; external facility-city verification is not asserted; no coordinate or proximity access claim.,approved
N006,东海岛,440800,湛江市,audited_manual_override,Evidence class=audited_locality; approved means model-baseline inclusion only; assignment curated from the source locality or facility label and route context; external facility-city verification is not asserted; no coordinate or proximity access claim.,approved
N007,临沂,371300,临沂市,audited_manual_override,Evidence class=name_locality; approved means model-baseline inclusion only; assignment curated from the source station locality label and route context; external facility-city verification is not asserted; no coordinate or proximity access claim.,approved
N008,临海,331000,台州市,audited_manual_override,Evidence class=audited_locality; approved means model-baseline inclusion only; assignment curated from the source locality or facility label and route context; external facility-city verification is not asserted; no coordinate or proximity access claim.,approved
N010,九江,360400,九江市,audited_manual_override,Evidence class=name_locality; approved means model-baseline inclusion only; assignment curated from the source station locality label and route context; external facility-city verification is not asserted; no coordinate or proximity access claim.,approved
N011,亳州,341600,亳州市,audited_manual_override,Evidence class=name_locality; approved means model-baseline inclusion only; assignment curated from the source station locality label and route context; external facility-city verification is not asserted; no coordinate or proximity access claim.,approved
N012,保定,130600,保定市,audited_manual_override,Evidence class=name_locality; approved means model-baseline inclusion only; assignment curated from the source station locality label and route context; external facility-city verification is not asserted; no coordinate or proximity access claim.,approved
N013,保山,530500,保山市,audited_manual_override,Evidence class=name_locality; approved means model-baseline inclusion only; assignment curated from the source station locality label and route context; external facility-city verification is not asserted; no coordinate or proximity access claim.,approved
N014,信阳,411500,信阳市,audited_manual_override,Evidence class=name_locality; approved means model-baseline inclusion only; assignment curated from the source station locality label and route context; external facility-city verification is not asserted; no coordinate or proximity access claim.,approved
N015,克拉玛依,650200,克拉玛依市,audited_manual_override,Evidence class=name_locality; approved means model-baseline inclusion only; assignment curated from the source station locality label and route context; external facility-city verification is not asserted; no coordinate or proximity access claim.,approved
N016,兖州,370800,济宁市,audited_manual_override,Evidence class=audited_locality; approved means model-baseline inclusion only; assignment curated from the source locality or facility label and route context; external facility-city verification is not asserted; no coordinate or proximity access claim.,approved
N017,六安,341500,六安市,audited_manual_override,Evidence class=name_locality; approved means model-baseline inclusion only; assignment curated from the source station locality label and route context; external facility-city verification is not asserted; no coordinate or proximity access claim.,approved
N018,兰州,620100,兰州市,audited_manual_override,Evidence class=name_locality; approved means model-baseline inclusion only; assignment curated from the source station locality label and route context; external facility-city verification is not asserted; no coordinate or proximity access claim.,approved
